measure,sens_attr,is_fair,counts
positive_predictive_value_parity,Electronic,True,85.0
positive_predictive_value_parity,Music,True,321.0
positive_predictive_value_parity,Dance & Electronic,True,109.0
positive_predictive_value_parity,House,True,42.0
positive_predictive_value_parity,Rock,True,140.0
positive_predictive_value_parity,Contemporary Country,True,31.0
positive_predictive_value_parity,Country,True,36.0
positive_predictive_value_parity,Honky Tonk,True,15.0
positive_predictive_value_parity,French Pop,True,19.0
positive_predictive_value_parity,East Coast Rap,True,34.0
positive_predictive_value_parity,Hardcore Rap,True,42.0
positive_predictive_value_parity,Hip-Hop/Rap,True,73.0
positive_predictive_value_parity,Rap,True,68.0
positive_predictive_value_parity,Rap & Hip-Hop,True,74.0
positive_predictive_value_parity,Contemporary R&B,True,18.0
positive_predictive_value_parity,Pop,True,67.0
positive_predictive_value_parity,R&B / Soul,True,25.0
positive_predictive_value_parity,Urban Cowboy,True,11.0
positive_predictive_value_parity,Cowboy,False,2.0
positive_predictive_value_parity,Traditional Country,True,4.0
positive_predictive_value_parity,Dubstep,True,8.0
positive_predictive_value_parity,Electronica,False,21.0
positive_predictive_value_parity,Alternative,True,36.0
positive_predictive_value_parity,Hard Rock,True,18.0
positive_predictive_value_parity,Metal,True,16.0
positive_predictive_value_parity,Folk,False,8.0
positive_predictive_value_parity,Singer/Songwriter,True,13.0
positive_predictive_value_parity,Pop/Rock,True,17.0
positive_predictive_value_parity,Teen Pop,True,7.0
positive_predictive_value_parity,Reggae,True,5.0
positive_predictive_value_parity,Dirty South,True,9.0
positive_predictive_value_parity,Hip-Hop / Rap,True,20.0
positive_predictive_value_parity,Gangsta & Hardcore,True,2.0
positive_predictive_value_parity,Gangsta Rap,False,3.0
positive_predictive_value_parity,Soundtrack,False,2.0
positive_predictive_value_parity,West Coast Rap,False,6.0
positive_predictive_value_parity,R&B,True,3.0
positive_predictive_value_parity,Garage,False,3.0
positive_predictive_value_parity,International,True,5.0
positive_predictive_value_parity,Latin Hip-Hop,False,1.0
positive_predictive_value_parity,Latin Music,True,4.0
positive_predictive_value_parity,Alternative Rap,True,6.0
positive_predictive_value_parity,Adult Alternative,True,20.0
positive_predictive_value_parity,Indie Rock,True,3.0
positive_predictive_value_parity,Underground Rap,True,2.0
positive_predictive_value_parity,Alternative Rock,True,14.0
positive_predictive_value_parity,Funk,True,2.0
positive_predictive_value_parity,Soul,True,5.0
positive_predictive_value_parity,Christmas,False,1.0
positive_predictive_value_parity,Holiday,False,1.0
positive_predictive_value_parity,Miscellaneous,False,2.0
positive_predictive_value_parity,Contemporary Bluegrass,True,1.0
positive_predictive_value_parity,Southern Rock,True,1.0
positive_predictive_value_parity,Indie & Lo-Fi,True,1.0
positive_predictive_value_parity,Grunge,True,4.0
positive_predictive_value_parity,Contemporary Singer/Songwriter,True,3.0
positive_predictive_value_parity,Punk,True,1.0
positive_predictive_value_parity,Vocal,True,1.0
positive_predictive_value_parity,Latin Urban,True,3.0
positive_predictive_value_parity,Latino,True,3.0
positive_predictive_value_parity,Modern Dancehall,False,3.0
positive_predictive_value_parity,Adult Contemporary,True,1.0
positive_predictive_value_parity,Country Rock,True,2.0
positive_predictive_value_parity,Hip-Hop,True,1.0
positive_predictive_value_parity,Neo-Soul,False,2.0
positive_predictive_value_parity,Disco,True,1.0
positive_predictive_value_parity,Bop,True,3.0
positive_predictive_value_parity,Jazz,True,3.0
positive_predictive_value_parity,World,False,2.0
positive_predictive_value_parity,Christian & Gospel,True,1.0
positive_predictive_value_parity,Gospel,True,1.0
positive_predictive_value_parity,West Coast,False,1.0
